epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7253,0.95306,1.89549,2.24954,0.99739,0,0.6823,0.61505,0.65093,0.4991,0.66001,0.58367,0.60524,0.37354,0.65217,1.26933,14.0512,0.73332,0,0.000369275,0.000369275,0.000369275
2,103.82,0.90764,1.66631,1.43758,0.98739,0,0.67678,0.6431,0.67494,0.50502,0.65324,0.61884,0.63741,0.40098,0.66843,1.33199,5.27337,0.73836,0,0.000702998,0.000702998,0.000702998
3,146.801,0.89372,1.64019,1.31115,0.98439,0,0.70671,0.67669,0.72177,0.55028,0.68728,0.65682,0.68337,0.43696,0.63323,1.18362,2.7547,0.72534,0,0.00100006,0.00100006,0.00100006
4,189.564,0.87499,1.61282,1.17103,0.9761,0,0.74358,0.68909,0.74806,0.57737,0.73481,0.66045,0.71209,0.46637,0.61883,1.1494,1.3252,0.72156,0,0.000946016,0.000946016,0.000946016
5,233.178,0.84566,1.53753,1.08995,0.96556,0,0.74631,0.68978,0.75096,0.5892,0.75553,0.64329,0.70569,0.44745,0.59669,1.08512,2.11756,0.7086,0,0.000891022,0.000891022,0.000891022
6,275.938,0.81367,1.50722,1.01895,0.95449,0,0.76747,0.69551,0.76175,0.60081,0.75218,0.6755,0.72829,0.47073,0.59054,1.12487,1.63761,0.69877,0,0.000836027,0.000836027,0.000836027
7,331,0.80785,1.47126,0.97647,0.95252,0,0.77928,0.71932,0.78146,0.62786,0.7681,0.6897,0.74382,0.49325,0.55198,1.05765,1.94213,0.69112,0,0.000781033,0.000781033,0.000781033
8,374.379,0.77663,1.43377,0.92488,0.93819,0,0.79084,0.72988,0.79497,0.63671,0.78912,0.69657,0.7575,0.50082,0.55516,1.02987,1.26229,0.68846,0,0.000726038,0.000726038,0.000726038
9,418.076,0.76438,1.41923,0.89866,0.93368,0,0.80175,0.74454,0.79687,0.6458,0.78766,0.71288,0.7612,0.50653,0.54947,1.02456,0.76435,0.68622,0,0.000671044,0.000671044,0.000671044
10,461.758,0.75123,1.41267,0.87828,0.92861,0,0.79838,0.73621,0.80572,0.65872,0.79314,0.71697,0.7777,0.52318,0.52457,1.01736,0.85674,0.67489,0,0.000616049,0.000616049,0.000616049
11,511.589,0.73006,1.35344,0.83635,0.92077,0,0.80062,0.74312,0.80678,0.65559,0.79089,0.71014,0.77201,0.51835,0.52786,1.00479,0.76993,0.67851,0,0.000561055,0.000561055,0.000561055
12,553.684,0.72245,1.31891,0.79637,0.91814,0,0.83314,0.75343,0.8222,0.66642,0.81038,0.73401,0.78682,0.53213,0.51993,0.99952,0.81985,0.6681,0,0.00050606,0.00050606,0.00050606
13,595.695,0.70661,1.3011,0.76359,0.90616,0,0.82316,0.75467,0.81769,0.66183,0.81652,0.73186,0.78408,0.51779,0.52884,1.00897,1.05743,0.67307,0,0.000451066,0.000451066,0.000451066
14,637.322,0.68748,1.26127,0.74562,0.89992,0,0.82596,0.76124,0.82585,0.67242,0.81055,0.73937,0.79319,0.52205,0.52262,0.99804,0.79721,0.67116,0,0.000396071,0.000396071,0.000396071
15,678.946,0.67725,1.26626,0.71979,0.89604,0,0.83264,0.7644,0.82742,0.68197,0.81077,0.74297,0.79388,0.53465,0.50671,0.97353,0.60988,0.66541,0,0.000341077,0.000341077,0.000341077
16,720.646,0.66571,1.23436,0.69912,0.89213,0,0.83999,0.7706,0.83613,0.69084,0.83648,0.73928,0.80297,0.54466,0.50036,0.95992,0.63549,0.66354,0,0.000286083,0.000286083,0.000286083
17,762.32,0.65063,1.21749,0.67753,0.88863,0,0.84828,0.75924,0.83967,0.69691,0.83413,0.73882,0.80803,0.54952,0.49059,0.94737,0.64768,0.66088,0,0.000231088,0.000231088,0.000231088
18,801.844,0.63755,1.19344,0.65386,0.88176,0,0.85778,0.76988,0.84191,0.70111,0.8393,0.74647,0.80922,0.55461,0.48932,0.94171,0.61307,0.65996,0,0.000176094,0.000176094,0.000176094
19,842.191,0.62662,1.18539,0.63716,0.87892,0,0.85012,0.77688,0.84559,0.7048,0.84203,0.74292,0.81165,0.55307,0.48243,0.93912,0.54946,0.65799,0,0.000121099,0.000121099,0.000121099
20,883.604,0.61712,1.15924,0.62413,0.87442,0,0.8509,0.78505,0.84932,0.7116,0.84801,0.75134,0.81688,0.55925,0.47567,0.92661,0.59094,0.66332,0,6.61045e-05,6.61045e-05,6.61045e-05
