epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7939,0.88161,1.76072,1.47824,0.99335,0,0.70812,0.62835,0.69629,0.52591,0.66915,0.59283,0.62614,0.37142,0.64122,1.28126,4.95073,0.73134,0,0.000369275,0.000369275,0.000369275
2,140.107,0.87346,1.62612,1.10013,0.98522,0,0.64619,0.62885,0.63341,0.46821,0.63428,0.60913,0.60174,0.36152,0.68919,1.34495,2.23954,0.74546,0,0.000702998,0.000702998,0.000702998
3,201.408,0.86565,1.61068,1.06062,0.98365,0,0.72515,0.70183,0.7491,0.57378,0.69948,0.68059,0.71165,0.45335,0.63566,1.17124,3.4754,0.72643,0,0.00100006,0.00100006,0.00100006
4,261.663,0.84649,1.5864,1.01359,0.97814,0,0.75091,0.70708,0.7569,0.58628,0.73167,0.68927,0.72506,0.46039,0.60787,1.16865,3.66782,0.71805,0,0.000946016,0.000946016,0.000946016
5,322.183,0.81506,1.48341,0.93018,0.96363,0,0.74837,0.73715,0.77741,0.61156,0.74757,0.69243,0.73631,0.48538,0.57899,1.07515,1.20852,0.7076,0,0.000891022,0.000891022,0.000891022
6,384.043,0.78407,1.45643,0.88199,0.95673,0,0.77238,0.70807,0.77615,0.60352,0.75294,0.6862,0.73125,0.45972,0.58535,1.16258,1.35861,0.70467,0,0.000836027,0.000836027,0.000836027
7,445.253,0.77315,1.40827,0.8702,0.95199,0,0.79988,0.74021,0.80002,0.64649,0.78502,0.7019,0.76034,0.50884,0.53633,1.02646,1.13779,0.68745,0,0.000781033,0.000781033,0.000781033
8,508.64,0.74111,1.37084,0.81837,0.93273,0,0.8123,0.74786,0.81398,0.65558,0.79362,0.72652,0.78024,0.51469,0.53854,1.00611,1.12306,0.68606,0,0.000726038,0.000726038,0.000726038
9,570.673,0.72038,1.34216,0.79985,0.92834,0,0.82663,0.75605,0.82405,0.67073,0.80776,0.74075,0.7924,0.533,0.52498,1.01632,0.83264,0.67603,0,0.000671044,0.000671044,0.000671044
10,631.262,0.71242,1.3318,0.77152,0.92204,0,0.82615,0.75274,0.825,0.67268,0.81848,0.73149,0.79717,0.53697,0.52284,0.97779,0.98261,0.67902,0,0.000616049,0.000616049,0.000616049
11,697.617,0.69762,1.28943,0.73098,0.91829,0,0.82292,0.76492,0.82924,0.68244,0.82072,0.73345,0.79801,0.54723,0.50925,0.97688,0.68743,0.67392,0,0.000561055,0.000561055,0.000561055
12,756.418,0.68276,1.24847,0.70461,0.91061,0,0.83928,0.77438,0.84194,0.6889,0.82514,0.75151,0.80848,0.54519,0.50654,0.96468,0.70298,0.67393,0,0.00050606,0.00050606,0.00050606
13,815.455,0.66942,1.22839,0.67955,0.90052,0,0.84132,0.77858,0.8449,0.69482,0.84079,0.74887,0.81672,0.55979,0.50201,0.95037,0.66491,0.67106,0,0.000451066,0.000451066,0.000451066
14,876.049,0.6485,1.19071,0.65899,0.89363,0,0.82179,0.7812,0.84169,0.69165,0.80066,0.76171,0.81034,0.54556,0.50558,0.9457,0.76394,0.66871,0,0.000396071,0.000396071,0.000396071
15,938.934,0.63836,1.18337,0.63133,0.88927,0,0.86024,0.76474,0.84429,0.7035,0.8545,0.74057,0.8122,0.55424,0.48908,0.94399,0.5575,0.66469,0,0.000341077,0.000341077,0.000341077
16,1001.07,0.61955,1.15705,0.60123,0.88414,0,0.84585,0.79057,0.85544,0.71639,0.83629,0.75672,0.81857,0.56341,0.47485,0.91214,0.56874,0.66006,0,0.000286083,0.000286083,0.000286083
17,1063.28,0.60862,1.13123,0.582,0.88244,0,0.84911,0.80618,0.85764,0.71975,0.84821,0.76936,0.82446,0.57199,0.46844,0.91273,0.63289,0.65927,0,0.000231088,0.000231088,0.000231088
18,1126.29,0.59632,1.10541,0.56035,0.87439,0,0.86525,0.7929,0.86155,0.72576,0.8464,0.77135,0.82665,0.57794,0.46109,0.90402,0.50274,0.65261,0,0.000176094,0.000176094,0.000176094
19,1187.26,0.58318,1.09971,0.54185,0.8696,0,0.86143,0.80207,0.86762,0.73123,0.84704,0.77905,0.83611,0.57912,0.45902,0.90134,0.56921,0.65751,0,0.000121099,0.000121099,0.000121099
20,1250.05,0.56994,1.06809,0.51373,0.86561,0,0.86366,0.81035,0.87071,0.73956,0.8454,0.78361,0.83622,0.58718,0.44709,0.88793,0.52078,0.65035,0,6.61045e-05,6.61045e-05,6.61045e-05
