epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,134.095,0.46702,0.96984,0.33608,0.83052,0,0.92816,0.87684,0.92833,0.82188,0.91192,0.852,0.90034,0.68021,0.45921,0.87356,0.35126,0.7905,0,0.000369468,0.000369468,0.000369468
2,247.618,0.49999,0.95802,0.38235,0.84248,0,0.91342,0.86891,0.92148,0.80966,0.89971,0.84266,0.89419,0.67017,0.48012,0.89167,0.40725,0.79837,0,0.000690975,0.000690975,0.000690975
3,368.048,0.52633,0.98134,0.41153,0.85086,0,0.89933,0.86239,0.91481,0.80016,0.89648,0.83077,0.88872,0.65588,0.49134,0.92637,0.48799,0.80451,0,0.000963597,0.000963597,0.000963597
4,484.148,0.53106,0.99059,0.4246,0.85216,0,0.90527,0.85881,0.91493,0.79744,0.8929,0.83216,0.88686,0.65832,0.4994,0.93074,0.47034,0.80506,0,0.000891022,0.000891022,0.000891022
5,601.785,0.52392,0.96337,0.41377,0.84941,0,0.90232,0.86121,0.91499,0.79775,0.89161,0.83234,0.88681,0.65689,0.49212,0.91681,0.42181,0.80277,0,0.000817696,0.000817696,0.000817696
6,723.513,0.51818,0.94382,0.4049,0.84699,0,0.90151,0.86346,0.91619,0.79876,0.89427,0.83727,0.89309,0.66661,0.49701,0.92404,0.41491,0.80273,0,0.00074437,0.00074437,0.00074437
7,833.627,0.50844,0.92299,0.38582,0.84196,0,0.91474,0.86378,0.91813,0.8062,0.90333,0.83562,0.88957,0.65886,0.47634,0.89673,0.41134,0.79933,0,0.000671044,0.000671044,0.000671044
8,942.953,0.50456,0.91796,0.37963,0.83913,0,0.9183,0.86412,0.91886,0.80482,0.90158,0.84042,0.89093,0.66819,0.48559,0.89461,0.39727,0.79913,0,0.000597718,0.000597718,0.000597718
9,1053.98,0.49347,0.90938,0.36663,0.83642,0,0.92145,0.87244,0.925,0.81377,0.90993,0.84558,0.89753,0.67127,0.47447,0.901,0.37895,0.79777,0,0.000524392,0.000524392,0.000524392
10,1167.07,0.49044,0.89143,0.35902,0.83505,0,0.91602,0.87148,0.92198,0.80804,0.90249,0.84259,0.89219,0.66417,0.4817,0.92013,0.40802,0.79812,0,0.000451066,0.000451066,0.000451066
11,1278.09,0.47682,0.87851,0.34289,0.83135,0,0.92237,0.86836,0.92354,0.81439,0.91308,0.84039,0.89524,0.6734,0.46452,0.89208,0.38593,0.79609,0,0.00037774,0.00037774,0.00037774
12,1388.32,0.47135,0.8613,0.33736,0.82773,0,0.92417,0.87468,0.92503,0.81726,0.91138,0.84594,0.89666,0.67461,0.4626,0.89533,0.37088,0.79462,0,0.000304414,0.000304414,0.000304414
13,1500.88,0.46351,0.8546,0.32329,0.82654,0,0.92441,0.87534,0.92597,0.81917,0.9106,0.84666,0.89598,0.67301,0.45439,0.88349,0.36272,0.79271,0,0.000231088,0.000231088,0.000231088
14,1611.8,0.45546,0.83326,0.31583,0.82481,0,0.92224,0.88019,0.92721,0.82135,0.91057,0.85292,0.8999,0.67768,0.45414,0.89152,0.35384,0.79277,0,0.000157762,0.000157762,0.000157762
15,1722.54,0.45136,0.8184,0.3095,0.82072,0,0.92635,0.87659,0.92709,0.82258,0.91599,0.85043,0.90114,0.68094,0.45131,0.88772,0.34942,0.79247,0,8.4436e-05,8.4436e-05,8.4436e-05
