epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1522,0.68656,1.6152,0.51306,0.89286,0,0.52337,0.44586,0.41171,0.20631,0.50178,0.29299,0.26443,0.0656,1.76744,3.00534,1.36273,1.35029,0,0.000368946,0.000368946,0.000368946
2,113.08,0.70137,1.44433,0.5315,0.88849,0,0.5444,0.44144,0.39318,0.21022,0.40875,0.33758,0.24603,0.06912,1.76188,2.92199,1.38291,1.39794,0,0.000714883,0.000714883,0.000714883
3,161.262,0.70553,1.39071,0.54283,0.89035,0,0.48929,0.46497,0.41865,0.21579,0.34012,0.30573,0.20959,0.06674,1.74026,3.45576,1.30586,1.37742,0,0.00103638,0.00103638,0.00103638
4,205.482,0.69914,1.36444,0.53047,0.88191,0,0.61152,0.42111,0.40928,0.20353,0.46211,0.31847,0.25439,0.07914,1.72537,3.39158,1.39829,1.3421,0,0.00100101,0.00100101,0.00100101
5,238.548,0.69362,1.32586,0.52062,0.87988,0,0.59658,0.43949,0.4117,0.20345,0.51524,0.29936,0.2567,0.08402,1.76142,3.37643,1.37138,1.37985,0,0.000964348,0.000964348,0.000964348
6,280.781,0.67914,1.26635,0.50849,0.87451,0,0.61126,0.44586,0.41382,0.20685,0.40863,0.31847,0.24117,0.06991,1.73558,3.44346,1.33725,1.32346,0,0.000927685,0.000927685,0.000927685
7,321.075,0.67431,1.26771,0.49403,0.86904,0,0.59597,0.43219,0.41078,0.21129,0.54636,0.26752,0.22684,0.07806,1.76102,3.57412,1.33341,1.39543,0,0.000891022,0.000891022,0.000891022
8,364.608,0.6611,1.21699,0.47561,0.86571,0,0.68046,0.4586,0.44677,0.22565,0.4403,0.33121,0.23925,0.08063,1.76999,3.59609,1.34065,1.40238,0,0.000854359,0.000854359,0.000854359
9,404.88,0.65428,1.20001,0.471,0.8592,0,0.60636,0.45133,0.38487,0.20101,0.41122,0.3121,0.20443,0.07183,1.77602,4.04223,1.40892,1.45059,0,0.000817696,0.000817696,0.000817696
10,450.449,0.64376,1.17551,0.45283,0.8586,0,0.56941,0.43312,0.40689,0.20039,0.39402,0.29936,0.21095,0.06607,1.80282,3.99456,1.41847,1.40771,0,0.000781033,0.000781033,0.000781033
11,494.753,0.63033,1.15297,0.44023,0.85372,0,0.56041,0.42675,0.41228,0.20192,0.44401,0.28025,0.20899,0.07002,1.85225,3.72061,1.42275,1.47111,0,0.00074437,0.00074437,0.00074437
12,543.094,0.62217,1.1254,0.43327,0.85102,0,0.55494,0.44586,0.39052,0.19631,0.47405,0.27389,0.20536,0.05969,1.7586,4.19232,1.40999,1.40513,0,0.000707707,0.000707707,0.000707707
13,587.594,0.60977,1.11453,0.41382,0.84552,0,0.59371,0.40764,0.41708,0.20331,0.47631,0.28662,0.22049,0.06427,1.79076,3.87951,1.39776,1.38803,0,0.000671044,0.000671044,0.000671044
14,634.682,0.60466,1.1032,0.41215,0.84028,0,0.51736,0.49045,0.4173,0.20498,0.45078,0.24204,0.17121,0.06014,1.76497,4.45802,1.39813,1.4229,0,0.000634381,0.000634381,0.000634381
15,679.944,0.58994,1.08642,0.40566,0.84243,0,0.60675,0.44586,0.40237,0.20088,0.43698,0.26115,0.17187,0.05945,1.84264,4.22201,1.37177,1.48601,0,0.000597718,0.000597718,0.000597718
16,714.022,0.58813,1.05997,0.39439,0.83363,0,0.6651,0.42675,0.40355,0.2025,0.43847,0.28025,0.20542,0.06918,1.81951,4.24058,1.39156,1.48096,0,0.000561055,0.000561055,0.000561055
17,749.601,0.58373,1.06704,0.39003,0.83419,0,0.64494,0.40496,0.36982,0.18092,0.49021,0.24841,0.18946,0.06115,1.88092,4.2818,1.48619,1.5214,0,0.000524392,0.000524392,0.000524392
18,782.919,0.57193,1.04721,0.38107,0.83021,0,0.51041,0.45223,0.3716,0.1948,0.44692,0.24841,0.17775,0.06438,1.90557,4.4923,1.53168,1.59361,0,0.000487729,0.000487729,0.000487729
