epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,53.572,0.72296,1.91717,0.55016,0.94174,0,0.40941,0.38217,0.32923,0.12738,0.24795,0.32484,0.16833,0.04149,2.19382,4.34888,1.68852,1.57826,0,0.000368946,0.000368946,0.000368946
2,87.1452,0.75404,1.38393,0.56382,0.92689,0,0.50659,0.34395,0.31805,0.12299,0.28333,0.26752,0.13558,0.04368,2.32906,5.53606,1.73628,1.64653,0,0.000714883,0.000714883,0.000714883
3,120.034,0.75972,1.34157,0.5796,0.92956,0,0.54652,0.40764,0.36797,0.13869,0.37174,0.28025,0.17723,0.05647,2.23873,4.84264,1.54048,1.59152,0,0.00103638,0.00103638,0.00103638
4,163.408,0.76488,1.29845,0.58161,0.92114,0,0.52616,0.42675,0.3627,0.13842,0.38076,0.31332,0.1989,0.06239,2.26126,5.32003,1.59836,1.61365,0,0.00100101,0.00100101,0.00100101
5,201.396,0.76122,1.26276,0.57007,0.91819,0,0.50372,0.50955,0.43632,0.15887,0.37288,0.23567,0.18951,0.04578,2.21198,5.18952,1.45228,1.60754,0,0.000964348,0.000964348,0.000964348
6,236.086,0.74719,1.20472,0.55997,0.91136,0,0.62595,0.38217,0.4014,0.13788,0.40585,0.23931,0.18834,0.05114,2.2233,5.32727,1.52669,1.59373,0,0.000927685,0.000927685,0.000927685
7,268.912,0.73505,1.22294,0.54155,0.90022,0,0.54254,0.47134,0.42204,0.1475,0.31814,0.29125,0.17161,0.04622,2.29699,6.37476,1.52185,1.61673,0,0.000891022,0.000891022,0.000891022
8,306.818,0.72256,1.16274,0.51381,0.89498,0,0.65107,0.36943,0.40115,0.15813,0.54777,0.26115,0.23255,0.07334,2.25978,6.1054,1.49611,1.67161,0,0.000854359,0.000854359,0.000854359
9,345.682,0.7134,1.15626,0.50491,0.8886,0,0.52582,0.44586,0.38533,0.14271,0.31055,0.27389,0.16979,0.04204,2.30086,5.07035,1.54041,1.69331,0,0.000817696,0.000817696,0.000817696
10,383.866,0.69243,1.12144,0.48618,0.88196,0,0.60361,0.34918,0.34997,0.12559,0.3582,0.26115,0.15674,0.04461,2.3976,6.0543,1.56514,1.7771,0,0.000781033,0.000781033,0.000781033
11,424.326,0.69195,1.10757,0.47674,0.88219,0,0.66315,0.38854,0.39053,0.13831,0.43184,0.23567,0.16615,0.04872,2.32742,6.18437,1.59978,1.67247,0,0.00074437,0.00074437,0.00074437
12,459.348,0.67473,1.08227,0.46072,0.87415,0,0.59346,0.3949,0.35609,0.12734,0.40824,0.24204,0.17453,0.04926,2.39955,6.73344,1.5825,1.75329,0,0.000707707,0.000707707,0.000707707
13,493.107,0.66083,1.08113,0.44816,0.86682,0,0.49434,0.40764,0.34736,0.12555,0.35702,0.27389,0.15263,0.04239,2.37498,6.68832,1.50984,1.86909,0,0.000671044,0.000671044,0.000671044
14,526.966,0.6483,1.0737,0.43737,0.85916,0,0.53095,0.3758,0.33841,0.11816,0.33758,0.21656,0.14002,0.03642,2.42935,6.02664,1.60676,1.83813,0,0.000634381,0.000634381,0.000634381
15,561.215,0.63317,1.04204,0.42768,0.86086,0,0.56942,0.3949,0.38519,0.14341,0.42271,0.29299,0.20439,0.05775,2.36898,6.70096,1.52708,1.76705,0,0.000597718,0.000597718,0.000597718
16,595.059,0.62733,1.02868,0.41927,0.84927,0,0.5792,0.41401,0.35932,0.11792,0.42005,0.29299,0.20528,0.06013,2.53108,7.28147,1.61286,1.96895,0,0.000561055,0.000561055,0.000561055
17,628.83,0.62084,1.02651,0.406,0.84877,0,0.47076,0.45325,0.36842,0.14341,0.4622,0.27389,0.20967,0.05673,2.36421,6.66403,1.54611,1.84241,0,0.000524392,0.000524392,0.000524392
18,664.036,0.60971,1.01141,0.39929,0.84557,0,0.52163,0.38217,0.32729,0.10847,0.37853,0.26752,0.18158,0.05001,2.50078,8.21312,1.71083,1.91888,0,0.000487729,0.000487729,0.000487729
