epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,513.316,0.70924,1.42535,0.93601,0.91742,0,0.83161,0.77215,0.83045,0.687,0.81508,0.74977,0.80099,0.54678,0.6276,1.20936,0.93703,0.84259,0,0.00999524,0.00333175,0.00999524,0.00333175,0.00999524,0.00333175,0.00999524,0.00333175
2,935.805,0.7098,1.29313,0.75868,0.91292,0,0.81372,0.78041,0.82814,0.67852,0.80036,0.75427,0.79726,0.54711,0.6367,1.20165,0.81613,0.85524,0,0.0197973,0.0065991,0.0197973,0.0065991,0.0197973,0.0065991,0.0197973,0.0065991
3,1334.58,0.75526,1.33658,0.80372,0.93321,0,0.82252,0.75914,0.82109,0.66527,0.80608,0.73665,0.78959,0.53095,0.66384,1.2323,1.09024,0.86728,0,0.0294013,0.00980044,0.0294013,0.00980044,0.0294013,0.00980044,0.0294013,0.00980044
4,1730.76,0.75155,1.33066,0.79134,0.93581,0,0.83071,0.77623,0.83761,0.68958,0.81725,0.74773,0.80298,0.54128,0.63662,1.1948,0.83673,0.85856,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2126.95,0.70987,1.26929,0.73031,0.91917,0,0.85122,0.79122,0.85422,0.70943,0.8333,0.76442,0.82006,0.57049,0.60709,1.14433,0.74021,0.84732,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2520.07,0.68282,1.22783,0.68995,0.91053,0,0.8571,0.81011,0.86866,0.73222,0.8447,0.77914,0.83571,0.58901,0.58229,1.09466,0.6515,0.83391,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2915.86,0.66296,1.19577,0.65912,0.90421,0,0.84028,0.80979,0.86867,0.73498,0.82443,0.78514,0.83719,0.58625,0.56481,1.07438,0.63327,0.83079,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3310.32,0.64862,1.17719,0.63387,0.89911,0,0.85863,0.81941,0.8742,0.74207,0.84105,0.7913,0.84091,0.59573,0.55956,1.06108,0.62098,0.82716,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3707.05,0.63863,1.15723,0.61748,0.89515,0,0.86779,0.82783,0.88686,0.75597,0.85688,0.79681,0.85504,0.60715,0.54452,1.02611,0.54863,0.82086,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4102.23,0.628,1.13533,0.60156,0.89157,0,0.87281,0.83529,0.89005,0.76475,0.8679,0.80481,0.86047,0.61756,0.53688,1.0138,0.51334,0.81694,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4498.5,0.62267,1.1344,0.59036,0.88814,0,0.87881,0.83409,0.89297,0.76679,0.86456,0.80786,0.86317,0.62097,0.53698,1.02054,0.53592,0.81723,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4890.32,0.61392,1.11372,0.57546,0.8862,0,0.89289,0.83912,0.89853,0.77463,0.88077,0.81074,0.86766,0.62363,0.5222,0.98697,0.47307,0.81185,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5286.23,0.60463,1.09884,0.56325,0.88089,0,0.88808,0.844,0.89983,0.77616,0.87594,0.81588,0.87031,0.62771,0.52331,0.98993,0.51203,0.81203,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5682.72,0.60371,1.09556,0.55644,0.8816,0,0.89105,0.84376,0.90278,0.78014,0.87847,0.81757,0.8727,0.63213,0.51723,0.98057,0.51513,0.80919,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6078.98,0.59574,1.08035,0.54342,0.87967,0,0.89941,0.85058,0.90624,0.78462,0.88203,0.82464,0.87669,0.63777,0.51166,0.96885,0.42781,0.8076,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,6472.15,0.59195,1.0747,0.53565,0.87791,0,0.90161,0.84907,0.9075,0.78776,0.88693,0.82309,0.87777,0.64134,0.50416,0.95625,0.4406,0.80502,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,6863.06,0.58782,1.06831,0.53071,0.87663,0,0.90249,0.85133,0.90953,0.79138,0.88683,0.82577,0.8803,0.64473,0.50252,0.95585,0.43152,0.80531,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
