epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1502,0.95662,1.92833,2.01804,0.99351,0,0.64994,0.59307,0.63406,0.48367,0.6479,0.55885,0.59807,0.37101,0.67627,1.26141,10.9781,0.73402,0,0.000369275,0.000369275,0.000369275
2,83.8764,0.89079,1.66921,1.34843,0.9736,0,0.66932,0.65653,0.69109,0.52029,0.64026,0.62573,0.63999,0.38787,0.65536,1.37167,6.84936,0.71944,0,0.000702998,0.000702998,0.000702998
3,123.583,0.89226,1.6229,1.24207,0.97877,0,0.72303,0.68712,0.73869,0.56273,0.70011,0.66499,0.70183,0.44776,0.63288,1.1913,3.30083,0.71706,0,0.00100006,0.00100006,0.00100006
4,162.618,0.87015,1.59998,1.13027,0.97106,0,0.75723,0.70767,0.76684,0.59279,0.74393,0.68384,0.73493,0.48958,0.60985,1.12969,2.09164,0.7074,0,0.000946016,0.000946016,0.000946016
5,201.805,0.8413,1.51579,1.04048,0.96075,0,0.78217,0.70339,0.77643,0.60961,0.76162,0.67769,0.74012,0.47923,0.58639,1.09322,2.3777,0.70101,0,0.000891022,0.000891022,0.000891022
6,245.079,0.81032,1.48189,0.97351,0.95384,0,0.73857,0.73191,0.7783,0.60897,0.73486,0.69954,0.74266,0.48885,0.58531,1.06915,1.49659,0.70052,0,0.000836027,0.000836027,0.000836027
7,283.007,0.80122,1.45626,0.95605,0.9524,0,0.78014,0.73897,0.79521,0.63663,0.76029,0.7111,0.75631,0.49917,0.55384,1.0408,1.52381,0.68846,0,0.000781033,0.000781033,0.000781033
8,320.692,0.77185,1.42367,0.90738,0.93798,0,0.77297,0.75265,0.80365,0.64636,0.7611,0.72108,0.76405,0.50678,0.54077,1.007,1.50984,0.68529,0,0.000726038,0.000726038,0.000726038
9,358.194,0.76198,1.40324,0.87475,0.9361,0,0.79972,0.75057,0.81007,0.6534,0.77966,0.73171,0.77394,0.51568,0.53857,1.01737,1.02021,0.68263,0,0.000671044,0.000671044,0.000671044
10,396.283,0.74875,1.39102,0.84417,0.93001,0,0.81473,0.72991,0.80797,0.65834,0.80025,0.71333,0.78004,0.52383,0.52939,1.0081,0.95501,0.6763,0,0.000616049,0.000616049,0.000616049
11,441.991,0.73238,1.33976,0.81048,0.92515,0,0.81068,0.75295,0.81658,0.66133,0.80997,0.72107,0.78302,0.5246,0.54133,1.0094,0.9645,0.68081,0,0.000561055,0.000561055,0.000561055
12,479.301,0.71783,1.30804,0.77705,0.917,0,0.8326,0.75157,0.82564,0.67029,0.81447,0.73099,0.78743,0.53636,0.52334,0.98641,0.71455,0.67853,0,0.00050606,0.00050606,0.00050606
13,516.41,0.70277,1.27949,0.73651,0.90636,0,0.82261,0.76811,0.82809,0.67098,0.80301,0.74292,0.78803,0.52665,0.53337,1.00092,1.11674,0.67695,0,0.000451066,0.000451066,0.000451066
14,552.997,0.68233,1.25681,0.72347,0.89797,0,0.81163,0.76716,0.8268,0.67968,0.80754,0.73305,0.78859,0.52624,0.52271,0.98908,0.78893,0.67336,0,0.000396071,0.000396071,0.000396071
15,589.668,0.6745,1.25837,0.70644,0.89678,0,0.82705,0.76576,0.82935,0.68158,0.81329,0.74054,0.79654,0.53613,0.51434,0.97378,0.64279,0.66882,0,0.000341077,0.000341077,0.000341077
16,625.965,0.66275,1.22285,0.67673,0.89208,0,0.84701,0.77125,0.83797,0.69379,0.82656,0.74991,0.80097,0.54326,0.50015,0.95265,0.72501,0.66551,0,0.000286083,0.000286083,0.000286083
17,661.586,0.65263,1.21397,0.6604,0.88864,0,0.84825,0.78694,0.84363,0.69941,0.8364,0.75901,0.81105,0.55382,0.49334,0.95424,0.72468,0.66434,0,0.000231088,0.000231088,0.000231088
18,697.292,0.64158,1.18829,0.64053,0.8838,0,0.8596,0.77588,0.84862,0.70692,0.85391,0.74875,0.81471,0.55736,0.49156,0.94467,0.76007,0.66011,0,0.000176094,0.000176094,0.000176094
19,733.124,0.63079,1.1782,0.62065,0.88133,0,0.84938,0.78911,0.84974,0.70847,0.8322,0.77003,0.81884,0.55719,0.48509,0.9379,0.70574,0.65843,0,0.000121099,0.000121099,0.000121099
20,768.965,0.61775,1.1567,0.60174,0.8742,0,0.85548,0.78547,0.85301,0.71512,0.8504,0.76058,0.82022,0.56114,0.47,0.92725,0.60406,0.65539,0,6.61045e-05,6.61045e-05,6.61045e-05
